"subject","predicate","object","documentID","start","end","certainty"
":e4","type","PER","","","",""
":e4","mention","Bart","D00124","283","286",""
":e4","mention","JoJo","D00124","145","149","0.9"
":e4","per:siblings",":e7","D00124","283","286",""
":e4","per:siblings",":e7","D00124","173","179",""
":e4","per:siblings",":e7","D00124","274","281",""
":e4","per:age","10","D00124","180","181","0.9"
":e4","per:age","10","D00124","173","179","0.9"
":e4","per:age","10","D00124","182","191","0.9"
":e4","per:parent",":e9","D00125","180","181",""
":e4","per:parent",":e9","D00125","381","380",""
":e4","per:parent",":e9","D00125","399","406",""
":e4","per:parent",":e9","D00101","220","225",""
":e4","per:parent",":e9","D00101","230","233",""
":e4","per:parent",":e9","D00101","201","210",""